image_id,true_label,true_sentiment,blip2_caption,emotion_label,emotion_numeric,image_path
1313.jpg,1,positive,"RT @ paulgraham : The cover of the @ NewYorker , which",neutral,0,data\image\1313.jpg
3613.jpg,0,neutral,RT @ mjgraham : First time taking a driving test . Passed !,negative,-1,data\image\3613.jpg
2554.jpg,0,neutral,"RT @ TheRoot : The Root mural in Baltimore is a tribute to Michael Brown ,",neutral,0,data\image\2554.jpg
2751.jpg,0,neutral,RT @ FandangoPics : Zac Efron # Pics,negative,-1,data\image\2751.jpg
3073.jpg,0,neutral,Harry Potter and the Order of the Phoenix . # HarryPotter,negative,-1,data\image\3073.jpg
1725.jpg,-1,negative,RT @ bhaskar_bjp : How one can become so BLAS,negative,-1,data\image\1725.jpg
1072.jpg,1,positive,RT @ TheDirtyDirtyBoys : John Paulson is a real life,neutral,0,data\image\1072.jpg
4457.jpg,0,neutral,"RT @ TMT : Fiat 500 , Italy -",neutral,0,data\image\4457.jpg
2771.jpg,-1,negative,RT @ mylilcutebaby : I love this picture of you ! !,negative,-1,data\image\2771.jpg
3053.jpg,1,positive,RT @ Cargolux : Biggest ship ever built in Netherlands .,neutral,0,data\image\3053.jpg
1147.jpg,1,positive,RT @ TheBrunoMars : J . Cole and Jay - Z together at,negative,-1,data\image\1147.jpg
1478.jpg,1,positive,RT @ TheMusicWeb : The legendary @ ArianaGrande performs her hit song,negative,-1,data\image\1478.jpg
3949.jpg,-1,negative,"RT @ LSE : UK manufacturing output fell in February , according to the LSE",positive,1,data\image\3949.jpg
3176.jpg,-1,negative,RT @ CityLab : The tallest building in the world is rising in Chicago,neutral,0,data\image\3176.jpg
2138.jpg,1,positive,RT @ EDIIN : Dr . Eduardo Pizarro speaks to the group,neutral,0,data\image\2138.jpg
3258.jpg,-1,negative,RT @ AppleInsider : Apple is reportedly working on a new MacBook with a new,neutral,0,data\image\3258.jpg
3216.jpg,0,neutral,RT @ TheMusicMaven : The first time I saw Diana Ross was at the,negative,-1,data\image\3216.jpg
2178.jpg,0,neutral,RT @ TheBabysitter : My @ TheBabysitter and the,neutral,0,data\image\2178.jpg
3506.jpg,1,positive,RT @ EllenDeGeneres : I ' m so proud of you Justin Bieber !,negative,-1,data\image\3506.jpg
1110.jpg,0,neutral,A great start to the day for our U18s against Southampton . # U18,negative,-1,data\image\1110.jpg
3148.jpg,1,positive,RT @ DoctorWho : With the lovely Sara Vickers . # Whoniverse,negative,-1,data\image\3148.jpg
3458.jpg,0,neutral,"RT @ TheFashionPix : Steely Dan , 1977 .",neutral,0,data\image\3458.jpg
3019.jpg,1,positive,RT @ FootballFacts : Gianluigi Buffon has made more saves than any,negative,-1,data\image\3019.jpg
4642.jpg,1,positive,RT @ masterplanindia : The master plan for the University of Hyderabad is,neutral,0,data\image\4642.jpg
